ASIN,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Boyutu,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Form Faktör,Grafik RAM Türü,Grafik İşlemci Üreticisi,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Marka,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Paket Boyutları,Piller Dahil mi?,Piller:,Price,RAM Boyutu,Sabit Disk Açıklaması,Score,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,Üretici,Ürün Ağırlığı,İşlemci Hızı,İşlemci Markası,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Grafik Yardımcı İşlemcisi,Renk,Sabit Sürücü Arabirimi,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Boyutları,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Model Numarası,HDMI Bağlantı Noktası Sayısı,Kablosuz Türü,Bellek Saat Hızı,Üretici Artık Üretmiyor,Donanım Arayüzü,Ekran Teknolojisi,Ortalama Pil Ömrü,RAM Bellek Teknolojisi,Model,Lityum Batarya Ağırlığı
B08SQLTLL3,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6979.0,12.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,"Bluetooth, 801.11ac",,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQL9B76,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9179.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08SQKYL38,,,,,,,,,,,,,,Lenovo,,,,,,8279.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SQKTCDJ,,,,,,,,,,,,,,Lenovo,,,,,,8429.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SQKBMSX,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7429.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQK7V6X,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7429.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQK6XFC,,,,,,,,,,,,,,Apple,,,,,,16599.0,16.0,SSD,,,,2560x1600,Apple Computer,,,Intel,4.0,,,,,Solid State,,,,,,,,,,,,,,LPDDR3,,
B08SQJNJDJ,,,,,,,,,,,,,,Lenovo,,,,,,8279.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SQJKMRM,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8579.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQH7CTK,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7329.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,"Bluetooth, 801.11ac",,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQGBWMG,,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,44629.0,64.0,SSD,,,,,Lenovo,,,,,,,,,Solid State,,,,,,,,,,,,LED,,,,
B08SQDYVTW,,,,,,,,,,,,,,Lenovo,,,,,,10379.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SQDT9NS,,,,,,,,,,,,,,Lenovo,,,,,,9129.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SQB6NDJ,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7779.0,8.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08SQ7W91P,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6529.0,12.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQ7HNG6,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6879.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQ6ZXPW,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7679.0,16.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08SQ5ZPBN,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6979.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQ5PMLF,,,,,,,,,,,,,,Lenovo,,,,,,6999.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SQ5NNR7,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7079.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQ5KYXJ,,,,,,,,,,,,,,Lenovo,,,,,,8079.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SQ5HGQC,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8129.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SPZZ43T,,,,,,,,,,,,,,Lenovo,,,,,,19629.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SMH49TC,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,8729.0,8.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SK7BQ7Y,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,10079.0,32.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SK688K6,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,8329.0,8.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SK5Z15G,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,9379.0,8.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SK5PZ7D,,,,,,,,,,,,,,Lenovo,,,,,,9079.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK5N2PL,,,,,,,,,,,,,,Lenovo,,,,,,9379.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK5M44N,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,9629.0,16.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SK5KTDX,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,9279.0,32.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SK53SHJ,,,,,,,,,,,,,,Lenovo,,,,,,8629.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK4Y7MS,,,,,,,,,,,,,,Lenovo,,,,,,9079.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK4S5QW,,,,,,,,,,,,,,Lenovo,,,,,,8529.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK48132,,,,,,,,,,,,,,Lenovo,,,,,,8879.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK45M3L,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,8429.0,8.0,SSD,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SK41MNP,,,,,,,,,,,,,,Lenovo,,,,,,8879.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK3SVLJ,,,,,,,,,,,,,,Lenovo,,,,,,8879.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SK3K59G,,,,,,,,,,,,,,Lenovo,,,,,,7929.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SJW5351,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,10379.0,32.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SJV138F,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,8129.0,16.0,SSD,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SJTXMFG,Wifi,,,,15.6,,,,,,,,,Lenovo,,,,,,9829.0,32.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,,,,,
B08SJR6NR4,,,,,,,,,,,,,,Lenovo,,,,,,11529.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SJK96Q6,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,10079.0,32.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJJH232,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9029.0,16.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJDSX16,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,11679.0,64.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJCTMPJ,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,10479.0,16.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SJCJ18W,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,10879.0,16.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SJBY6HK,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,11679.0,64.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJB5RF3,,,,,,,,Dizüstü Bilgisayar,,,,,,Dell,,,,,,10729.0,64.0,SSD,,,,,Dell Computers,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,,,,
B08SJ9H233,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9229.0,8.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJ8YY61,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9129.0,8.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJ8J36K,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,10479.0,32.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJ89X2K,,,GDDR5,,,,,,,,,,,,,,,,,7980.0,16.0,SSD,,,,,XİAOMİ,,2.4,AMD,1.0,Ryzen 5 4500U,,,,ESATA,512.0,,,Windows,,,,,,,,,,,,
B08SJ71DF6,,,,,,,,,,,,,,Lenovo,,,,,,11129.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SJ6PKTC,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,12029.0,32.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SJ5CKD4,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,11129.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SJ5C66G,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,10579.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,,,DDR4,,
B08SJ4MNYY,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9629.0,32.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJ4CDMC,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9529.0,16.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJ3GND5,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,12579.0,32.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SJ3BYJV,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9879.0,16.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJ2PP6J,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9429.0,16.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SJ2HTYT,,,,,,,,,,,,,,Asus,,,,,,10979.0,,,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,
B08SJ26C95,,,,,,,,,,,,,,Asus,,,,,,11179.0,,,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,
B08SJ171M5,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,10029.0,32.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SHZWJWL,,,GDDR4,,,,,,,,,,,,,,,,,7780.0,8.0,SSD,,,,,XİAOMİ,,2.3,AMD,1.0,Ryzen 5 4500U,,,,ESATA,512.0,,,Windows,,,,,,,,,,,,
B08SHY47GC,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,11029.0,16.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SHXV7V2,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,12029.0,32.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SHX9RWG,,,,,,,,,,,,,,Lenovo,,,,,,11629.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHWWCVB,,,,,,,,,,,,,,Asus,,,,,,9629.0,,,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHWRN43,,,,,,,,,,,,,,Lenovo,,,,,,11429.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHWG7GQ,,,,,,,,,,,,,,Asus,,,,,,10379.0,,,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHVRHJJ,,,DDR4 SDRAM,,,,,,,,,,,,,,,,,9975.0,16.0,SSD,,,,,XİAOMİ,,3.9,Intel,1.0,Intel Core i7,,,,ESATA,512.0,,,Windows,,,,,,,,,,,,
B08SHVC2X9,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,10829.0,64.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SHTCGFJ,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,10079.0,8.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SHSZ147,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,11929.0,16.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08SHMVB3F,,,,,,,,Dizüstü Bilgisayar,,,,,,Dell,,,,,,8629.0,8.0,,,,,,Dell Computers,,,Intel,,,,,,,,,,,,,,,,,,LED,,,,
B08SHMNVK5,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9879.0,16.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SHLGXNX,,,,,,,,,,,,,,Lenovo,,,,,,11129.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHKPZY5,,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,43379.0,32.0,SSD,,,,,Lenovo,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,,,
B08SHJ1S29,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,11279.0,64.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SHG2F1Q,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,10479.0,32.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SHFPS59,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,10679.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SHCQ4BG,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,11629.0,32.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SHCCM4B,Wifi,,,,17.3,,,,,,,,,Lenovo,,,,,,25779.0,16.0,SSD,,,,3840x2160,Lenovo,,,,8.0,,,,,Solid State,,,,,,,,,,,,,17.0,,,
B08SHCC8ZN,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,12179.0,64.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SHC9QV2,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,11429.0,16.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08SHC8TP3,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9629.0,8.0,SSD,,,,,Asus,,,Intel,,,,,,Solid State,,,,,,,,,,,,LED,6.0,,,
B08SBK8NMZ,,,,,14,,,Dizüstü Bilgisayar,,,,,,HP,,,,,,9281.0,8.0,SSD,,,,,HP,,,,,,,,,Solid State,,,,,,HP 250 G7 255G9ES,,,,,VGA,LED,,,HP 250 G7 255G9ES,
B08RS4STJJ,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7379.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08RN3M6C4,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,10179.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,,,DDR4,,
B08RDC9VW1,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,5829.0,12.0,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RDBR7GF,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6629.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RDBHBPQ,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6379.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,1000.0,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RDBFNRC,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6729.0,12.0,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RDB5KPK,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7229.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RDB5151,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6279.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RCSSPXG,,,SODIMM,,,,,,,,,,,,,,,,,10816.0,,,,,,,Dynabook,,4.9,Intel,8.0,Core i7-10510U,,,,Solid State,256.0,,,Windows,,,,,,,,,,,,
B08RB7WMJV,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6629.0,8.0,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB7WM5K,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6029.0,8.0,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB7SFYX,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,5779.0,8.0,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB7RNJ6,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6529.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB7NNC3,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7579.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB78F88,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6829.0,,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB748RC,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7679.0,,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB6VWJM,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7579.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB6M6SQ,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7329.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,1000.0,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB6FNN9,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8179.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB6B28V,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6929.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB69DZY,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6679.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB699NX,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6429.0,,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB66YCX,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6129.0,12.0,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
