ASIN,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Boyutu,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Form Faktör,Grafik RAM Türü,Grafik İşlemci Üreticisi,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Marka,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Paket Boyutları,Piller Dahil mi?,Piller:,Price,RAM Boyutu,Sabit Disk Açıklaması,Score,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,Üretici,Ürün Ağırlığı,İşlemci Hızı,İşlemci Markası,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Grafik Yardımcı İşlemcisi,Renk,Sabit Sürücü Arabirimi,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Boyutları,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Model Numarası,HDMI Bağlantı Noktası Sayısı,Kablosuz Türü,Bellek Saat Hızı,Üretici Artık Üretmiyor,Donanım Arayüzü,Ekran Teknolojisi,Ortalama Pil Ömrü,RAM Bellek Teknolojisi,Model,Lityum Batarya Ağırlığı
B0874VR9GT,,DDR4,SODIMM,,,,,,,NVIDIA,,,,,,,,,,11299.0,16.0,SSD,,,,1920x1080,Monster,2.5,2.5,Intel,1.0,Core i7,Windows,,,Solid State,256.0,,,Windows,,,,,,,,,,,,
B08H8VRWYF,"Bluetooth, Wi-Fi",DDR4,,16.0,15.6,Tümleşik,GTX 1660 Ti,Dizüstü Bilgisayar,VRAM,AMD,,,,HP,Yok,,52 x 30.6 x 7.4 cm; 3.24 Kilogram,,,10461.0,16.0,Flaş Bellek Katı Hal,4.3,15-ec1014nt,2.0,,HP,3.24,2.1,AMD,1.0,AMD Ryzen 7,FreeDOS,,Siyah,Solid State,1000.0,,,,,,,Bluetooth,,,,,,,,
B08RC18938,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6179.0,,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08LD3X4H9,,,,,14,,,Dizüstü Bilgisayar,,AMD,,,,HUAWEI,,,42.6 x 30.2 x 10.2 cm; 2.4 Kilogram,,,7999.0,8.0,SSD,5.0,,,,Huawei,2.4,,AMD,,,,,Gri,Solid State,,,,,,,,,,,,,,,,
B08PG4ZJ4D,"Bluetooth, Wi-Fi",DDR4,,16.0,15.6,Tümleşik,Dedicated,Dizüstü Bilgisayar,GDDR4,AMD,0.001,Cihazın içinde pil vardır.,12.0,HP,Yok,,51.8 x 30.6 x 6.8 cm; 2.94 Kilogram,,1 Lityum İyon pil gereklidir.,12999.0,16.0,SSD,4.4,Pavillion,,1920x1080,HP,2.94,1.0,AMD,6.0,AMD Ryzen 7,Windows 10,,Siyah,ESATA,512.0,2.0,,,,,,"802.11a/b/g/n/ac, Bluetooth",,,,,,,,
B08CYHCG86,Bluetooth,,DDR4 SDRAM,8.0,14,,,Notebook,,Intel,,,,Lenovo,Optik,10.0,,,,10996.0,8.0,SSD,3.8,,1.0,1920x1080,Lenovo,2.24,4.9,Intel,4.0,Core i7,Windows 10 Home,,,Solid State,512.0,1.0,40 x 30 x 50 cm; 2.24 Kilogram,,,81TC000YTX,1.0,Bluetooth,,,,,,,,
B08G5LYBXF,Wi-Fi,DDR4,DDR4 SDRAM,,15.6,,,Katlanır,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),9588.0,8.0,SSD,4.3,,,1920x1080,MSI COMPUTER,1.86,2.5,Intel,4.0,,FreeDOS,,,Solid State,,,36 x 2.1 x 25 cm; 1.86 Kilogram,,4.0,GF63 THIN 10SCSR-657XTR,1.0,801.11ac,,,,,,,,
B08L9K314C,"Bluetooth, Wi_fi",So_dimm,DDR4 SDRAM,64.0,17.3,PCI-Express x16,GTX 1650,Dizüstü,GDDR6,NVIDIA,51.0,Cihazın içinde pil vardır.,3.0,Msi,Yok,,,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),12727.0,4.0,SSD,,GF75 THIN 9SCSR-432XTR,4.0,1920x1080,MSI COMPUTER,2.2,2.6,Intel,1.0,Core i7,Linux,,Black,Solid State,1000.0,,26 x 39.7 x 2.31 cm; 2.2 Kilogram,PC,4.0,,,802.11a/b/g/n/ac,2666.0,,,,,,,
B08J8CV8H4,,DDR4,DDR DRAM,16.0,15.6,Tümleşik,NVDeForcTX 1650 Ti,Dizüstü Bilgisayar,GDDR6,NVIDIA,52.5,Cihazın içinde pil vardır.,3.0,HP,Yok,,55.2 x 30.4 x 6.8 cm; 3.3 Kilogram,,1 Lityum İyon pil gereklidir.,10999.0,16.0,SSD,,1U5T2EA,2.0,,HP,3.3,2.6,Intel,1.0,Core i7,DOS,,,Solid State,512.0,1.0,,Bilgisayar,,,,,,,,,,,,
B08LX1B8ZM,Wi-Fi,DDR4,SODIMM,64.0,15.6,PCI-Express x16,1650TI,,GDDR6,NVIDIA,,Cihazın içinde pil vardır.,3.0,Msi,Yok,7.0,,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),8550.0,,SSD,3.2,GF63 THIN 9SCSR-1053XTR,4.0,1920x1080,MSI COMPUTER,1.86,2.4,Intel,1.0,Core i5,FreeDOS,NVIDIA GeForce GTX 1650 Ti,Black,Solid State,,,39.7 x 25.4 x 2.17 cm; 1.86 Kilogram,PC,4.0,,,802.11a/b/g/n/ac,2666.0,,,,,,,
