ASIN,Ekran Boyutu,Form Faktör,Grafik Yardımcı İşlemcisi,Grafik İşlemci Üreticisi,Marka,Paket Boyutları,Price,RAM Boyutu,Renk,Sabit Disk Açıklaması,Sabit Sürücü Arabirimi,Score,Üretici,Ürün Ağırlığı,İşlemci Markası,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Grafik RAM Türü,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Piller Dahil mi?,Piller:,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,İşlemci Hızı,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Lityum Batarya Ağırlığı,Lityum Metal Hücre Sayısı,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Model Numarası,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Boyutları,Kablosuz Türü,Bellek Saat Hızı,Ekran Çözünürlüğü,Üretici Artık Üretmiyor,HDMI Bağlantı Noktası Sayısı,Ekran Teknolojisi,RAM Bellek Teknolojisi,Önemli Özellikler,İnsan Arayüz Girdisi,Üretici Referansı,Audio Details,Voltaj,Watt Değeri,Donanım Arayüzü,Ortalama Pil Ömrü,Yüklü Flash Belleğin Boyutu,Dizüstü Bilgisayar Ekran Teknolojisi,Ek Sürücüler,Dahili Hafıza,Average Battery Standby Life (in hours),Front Webcam Resolution,Model,Parça Numarası,Pil Gerekli,Piller Dahil,Sıvı Madde İçerir,Bağlantı Noktası Sayısı,Model Year,Otomatik Odaklama Var,Programlanabilir Düğmeler,USB Bağlantı Noktası Sayısı,Yatay Çözünürlük,Klavye Dili ve Düzeni,Sabit Disk Dönüş Hızı,Cihaz Türü,İşlemci Yuvası,Pil Hücre Bileşimi,Rear Webcam Resolution,Adet,Model Adı,Şarj Edilebilir Pil Dahil,Dijital Depolama Kapasitesi,Renkli Ekran,En-Boy Oranı,Yanıt Süresi,Bluetooth Teknolojisini Destekler,Hücresel Teknoloji,Lityum Batarya Voltajı,Battery Charge Time (in hours),Uzaktan Kumanda Dahil,Hoparlör Çıkış Kanalı Sayısı,Desteklenen Yazılımlar,Pil Açıklaması,Mikrofon Bağlantı Noktası Sayısı,Kart Okuyucu,Dil:,Güç Kaynağı,Model Numarası,Üretici Parça Numarası
B08P5Y316B,,Dizüstü Bilgisayar,,,Asus,,"₺4.929,00",4 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,1.9 Kilogram,,"USB, Ethernet, HDMI, Wifi",,,,,,,,,,,,,,,,1366 x 768 Pixels,,,,,,,,,,,,,,,,,,,,Kart Okuyucu,Düğmeler,,,,,"MicroSD, VGA, Güvenli Dijital Kart, USB, Ethernet, HDMI, SDHC, SDXC, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5VS9GJ,,Dizüstü Bilgisayar,,,Dell,,"₺7.729,00",8 GB,,Katı Hal Sürücüsü (SSD),,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5VHP9B,,Dizüstü Bilgisayar,,,Dell,,"₺9.029,00",32 GB,,,,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5TY4RK,,Dizüstü Bilgisayar,,,Dell,,"₺10.229,00",64 GB,,,,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5TC2LN,,Dizüstü Bilgisayar,,,Dell,,"₺9.829,00",64 GB,,Katı Hal Sürücüsü (SSD),,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5T7J3Y,,Dizüstü Bilgisayar,,,Dell,,"₺8.929,00",16 GB,,,,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5SM2XK,,Dizüstü Bilgisayar,,,Dell,,"₺8.129,00",8 GB,,,,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5S3XJN,,Dizüstü Bilgisayar,,,Dell,,"₺9.529,00",32 GB,,,,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5RZ32F,,Dizüstü Bilgisayar,,,Dell,,"₺8.629,00",32 GB,,Katı Hal Sürücüsü (SSD),,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5FCLD5,,,,,Dell,,"₺7.979,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,1 TB,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5DZ9CD,,,,,Dell,,"₺8.629,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,1 TB,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5CTYST,,,,,Dell,,"₺8.079,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,500 GB,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5CTJ7B,,,,,Dell,,"₺7.129,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,500 GB,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5CGQPR,,,,,Dell,,"₺7.679,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,256 GB,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5BRQYG,,,,,Dell,,"₺9.379,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,500 GB,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P59RBN6,,,,,Dell,,"₺9.929,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P58NPLW,,,,,Dell,,"₺8.979,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,256 GB,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P58LQDN,,,,,Dell,,"₺7.679,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4ZQV57,,,,,Dell,,"₺7.429,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",,512,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4XRFRJ,,,,,Dell,,"₺7.029,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Dell Computers,,,"USB, Ethernet, HDMI",,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,,Klavye,,,,,"MicroSD, Güvenli Dijital Kart, USB, HDMI, USB 2.0",4 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4V4PWS,,Dizüstü Bilgisayar,,,Asus,,"₺8.379,00",,,,,,Asus,1.9 Kilogram,,"USB, HDMI",,,,,,,,,,,,,,,,,,,,,,,,,,,2 GB,,,,,,,LED,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4TBMBH,,Dizüstü Bilgisayar,,,Asus,,"₺7.779,00",,,,,,Asus,1.9 Kilogram,,"USB, HDMI",,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,LED,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4QTPMG,,Dizüstü Bilgisayar,,,Dell,,"₺8.429,00",16 GB,,,,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notebook,,,,,,,,,,,,,,,,,,,,,,,,
B08P4M6CFV,15.6 İnç,,,,Lenovo,,"₺21.079,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,6,,Windows 10 Pro,,,,,,,,,,,,,,LED,,,,,,,,,16.5 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4M1QQM,,,,,Lenovo,,"₺16.999,00",32 GB,,,,,Lenovo,,Intel,Wifi,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,,Mikrofon,,,,,,14 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4LVXVP,,,,,Lenovo,,"₺43.699,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,,,,,,,,,,,,,,,OLED,,,,,,,,,16.5 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4LPB3Y,,,,,Lenovo,,"₺40.679,00",32 GB,,,,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,,,,,,,,,,,,,,,OLED,,,,,,,,,16.5 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4LMVT2,15.6 İnç,,,,Lenovo,,"₺20.569,00",32 GB,,,,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,6,,Windows 10 Pro,,,,,,,,,,,,,,LED,,,,,,,,,10 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4LK8B8,,,,,Lenovo,,"₺39.129,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,,,,,,,,,,,,,,,OLED,,,,,,,,,16.5 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4LFVJD,17.3 İnç,,,,Lenovo,,"₺23.429,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,,,,1 TB,,,,,,,,,,,,,,Mikrofon,,,,,,17 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4L3XVN,,,Intel UHD Graphics 620,,Lenovo,,"₺18.179,00",8 GB,,,,,Lenovo,,Intel,,,,,,,,,,,,,,,,,,4 GHz,,,Windows 10 Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4KWGKF,,,,,Lenovo,,"₺16.960,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,Wifi,,DDR4 SDRAM,,,,,,,,,,,,,,,,,,Windows 10 Pro,,,,,,,,,,,,,,,DDR4,,Mikrofon,,,,,,14 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4KW4MB,,,,,Lenovo,,"₺18.879,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,Wifi,,DDR4 SDRAM,,,,,,,,,,,,,,,,,,Windows 10 Pro,,,,,,,,,,,,,,,DDR4,,Mikrofon,,,,,,14 Saat,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4KVRS3,15.6 İnç,,,,Lenovo,,"₺21.069,00",32 GB,,,,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,6,,Windows 10 Pro,,,,,,,,,,,,,,,,,,,,,,,16.5 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4KQ5QW,15.6 İnç,,,,Lenovo,,"₺21.659,00",32 GB,,,,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,6,,Windows 10 Pro,,,,,,,,,,,,,,,,,,,,,,,16.5 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4KLMMF,,,,,Lenovo,,"₺39.779,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,,,,,,,,,,,,,,,OLED,,,,,,,,,16.5 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4JY1NR,,Kompakt,,,Asus,,"₺4.415,00",4 GB,,"Katı Hal Sürücüsü (SSD), eMMC",Solid State,,Asus,,,"USB, Wifi",,DDR4 SDRAM,,,,,,,,,,,,,,1366 x 768 Pixels,,,,Windows 10 Home,,,,,,,,,801.11ac,,,,,,"DDR4, SDRAM",Kart Okuyucu,Düğmeler,,,,,"MicroSD, Güvenli Dijital Kart, USB, SDHC, SDXC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4CG43R,,Dizüstü Bilgisayar,,,Asus,,"₺5.829,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,1.9 Kilogram,AMD,,,,,,,,,,,,,,,,,,,,,Windows 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4C9JHX,,Dizüstü Bilgisayar,,,Asus,,"₺5.179,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,1.9 Kilogram,AMD,,,,,,,,,,,,,,,,,,,,,Windows 10,,,,,,,,,,,,,,,,,,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P4BSB31,,Dizüstü Bilgisayar,,,Asus,,"₺5.479,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,1.9 Kilogram,AMD,,,,,,,,,,,,,,,,,,,,,Windows 10,,,,,,,,,,,,,,,,,,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3ZTP4W,,Dizüstü Bilgisayar,,,Lenovo,,"₺10.179,00",24 GB,,,,,Lenovo,,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,USB-C,12 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3Z7TQ7,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺8.129,00",,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,1 TB,,,,,,,,,,,,,,,,,,,Notebook,,,,,,,,,,,,,,,,,,,,,,,,
B08P3Z2Z8N,,"Dizüstü Bilgisayar, 2'si 1 Arada",,,Lenovo,,"₺12.329,00",8 GB,,,,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,,,,,Windows 10,,,,,,,,,,,,,,,,,,,,,,Kızılötesi,,,,,,,,,,,,,,,,,,,,,2si 1 Arada,,,,,,,,,,,,,,,,,,,,,,,,
B08P3Z1L1Z,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺9.629,00",32 GB,,,,,Lenovo,,Intel,USB,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,,Mikrofon,,,,,USB-C,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YYJQ3,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.179,00",8 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,9 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YTLRQ,,Dizüstü Bilgisayar,,,Lenovo,,"₺9.979,00",64 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YQKJ2,,Dizüstü Bilgisayar,,,Lenovo,,"₺8.679,00",8 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,,,,,Windows 10,,,,,,,,,,,,,,,,,Mikrofon,,,,,Kızılötesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YNW13,,Dizüstü Bilgisayar,,,Lenovo,,"₺10.829,00",,,,,,Lenovo,,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,USB-C,12 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YMFG5,,Dizüstü Bilgisayar,,,Lenovo,,"₺11.579,00",16 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kızılötesi,,,,,LED,,,,,,,,Kızılötesi,12 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YM3JW,,Dizüstü Bilgisayar,,,Lenovo,,"₺24.399,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,1.7 Kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YKHG5,,,,,Lenovo,,"₺28.729,00",64 GB,,Katı Hal Sürücüsü (SSD),Thunderbolt 3,,Lenovo,,Intel,"Bluetooth, USB, Ethernet, Mini DisplayPort, HDMI",,,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,Windows 10 Pro,,,,,,,,,"Bluetooth, Kızılötesi",,,,,LED,"DDR4, SO-DIMM",Kart Okuyucu,"Mikrofon, Dokunmatik Ekran, Klavye, Düğmeler",,,,,"MicroSD, Bluetooth, Güvenli Dijital Kart, USB, DisplayPort, Ethernet, HDMI, Kızılötesi, Thunderbolt, USB-C",,500 GB,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YGTHJ,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺7.229,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,AMD,,,DDR4 SDRAM,,,AMD Radeon Vega 10,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YDMSZ,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺8.729,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YCVF9,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.779,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,Notebook,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YC91K,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺8.829,00",8 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,Intel,USB,,DDR4 SDRAM,,,Intel UHD Grafik 620,,,,,,,,,,,1920 x 1080 Pixels,,,,Windows 10 Pro,,,,,,,,,,,,,,LED,DDR4,,Mikrofon,,,,,USB-C,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3XXJS9,,Dizüstü Bilgisayar,,,Lenovo,,"₺8.329,00",32 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3XX1Z1,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.629,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3XWPHV,,Dizüstü Bilgisayar,,,Lenovo,,"₺9.229,00",32 GB,,,,,Lenovo,,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3XTZP9,,Dizüstü Bilgisayar,,,Lenovo,,"₺10.029,00",,,Katı Hal Sürücüsü (SSD),,,Lenovo,,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,USB-C,12 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3XQYX3,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺9.929,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Kart Okuyucu,Dokunmatik Ekran,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3XPNBK,,Dizüstü Bilgisayar,,,Lenovo,,"₺5.449,00",4 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,1.6 Kilogram,AMD,"Bluetooth, Wifi",,DDR4 SDRAM,,,,,,,,,,,,,,1366 x 768 Pixels,,,,,,,,,,,,,Bluetooth,,,,,,DDR4,,,,,,,Bluetooth,6 Saat,256 GB,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
